LAT LON DEPTH Vs
4.815249999999999808e-01 -9.118192500000000678e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.109437499999999943e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.118192500000000678e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.109437499999999943e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.100682500000000630e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.091927499999999895e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.100682500000000630e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.091927499999999895e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.083172500000000582e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.074417499999999848e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.083172500000000582e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.074417499999999848e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.100682500000000630e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.091927499999999895e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.100682500000000630e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.091927499999999895e+01 2.000000000000000000e+00 2.751025212139865506e+00
4.815249999999999808e-01 -9.083172500000000582e+01 2.000000000000000000e+00 2.779783418491400759e+00
4.815249999999999808e-01 -9.074417499999999848e+01 2.000000000000000000e+00 2.741324998775218180e+00
3.939749999999999641e-01 -9.083172500000000582e+01 2.000000000000000000e+00 2.772685293408602369e+00
3.939749999999999641e-01 -9.074417499999999848e+01 2.000000000000000000e+00 2.726557580871253439e+00
6.566250000000000142e-01 -9.065662500000000534e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.056907499999999800e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.065662500000000534e+01 2.000000000000000000e+00 2.711805872150348407e+00
5.690749999999999975e-01 -9.056907499999999800e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.048152500000000487e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.039397499999999752e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.048152500000000487e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.039397499999999752e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.065662500000000534e+01 2.000000000000000000e+00 2.704679960673323613e+00
4.815249999999999808e-01 -9.056907499999999800e+01 2.000000000000000000e+00 2.717014578047150852e+00
3.939749999999999641e-01 -9.065662500000000534e+01 2.000000000000000000e+00 2.735581699729024763e+00
3.939749999999999641e-01 -9.056907499999999800e+01 2.000000000000000000e+00 2.723670083353784133e+00
4.815249999999999808e-01 -9.048152500000000487e+01 2.000000000000000000e+00 2.744369563407260237e+00
4.815249999999999808e-01 -9.039397499999999752e+01 2.000000000000000000e+00 2.687417513788762147e+00
3.939749999999999641e-01 -9.048152500000000487e+01 2.000000000000000000e+00 2.716996433725628268e+00
3.939749999999999641e-01 -9.039397499999999752e+01 2.000000000000000000e+00 2.689700295214067172e+00
6.566250000000000142e-01 -9.030642500000000439e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.021887499999999704e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.030642500000000439e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.021887499999999704e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.013132500000000391e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -9.004377499999999657e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.013132500000000391e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -9.004377499999999657e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.030642500000000439e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.021887499999999704e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.030642500000000439e+01 2.000000000000000000e+00 2.747950405358078996e+00
3.939749999999999641e-01 -9.021887499999999704e+01 2.000000000000000000e+00 2.778504081935555980e+00
4.815249999999999808e-01 -9.013132500000000391e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -9.004377499999999657e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -9.013132500000000391e+01 2.000000000000000000e+00 2.762686601892892391e+00
3.939749999999999641e-01 -9.004377499999999657e+01 2.000000000000000000e+00 2.768348664453849750e+00
6.566250000000000142e-01 -8.995622500000000343e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -8.986867499999999609e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -8.995622500000000343e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -8.986867499999999609e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -8.978112500000000296e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -8.969357499999999561e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -8.978112500000000296e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -8.969357499999999561e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -8.995622500000000343e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -8.986867499999999609e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -8.995622500000000343e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -8.986867499999999609e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -8.978112500000000296e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -8.969357499999999561e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -8.978112500000000296e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -8.969357499999999561e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -8.960602500000000248e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -8.951847499999999513e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -8.960602500000000248e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -8.951847499999999513e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -8.943092500000000200e+01 2.000000000000000000e+00 nan
6.566250000000000142e-01 -8.934337499999999466e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -8.943092500000000200e+01 2.000000000000000000e+00 nan
5.690749999999999975e-01 -8.934337499999999466e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -8.960602500000000248e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -8.951847499999999513e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -8.960602500000000248e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -8.951847499999999513e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -8.943092500000000200e+01 2.000000000000000000e+00 nan
4.815249999999999808e-01 -8.934337499999999466e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -8.943092500000000200e+01 2.000000000000000000e+00 nan
3.939749999999999641e-01 -8.934337499999999466e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -9.161967500000000086e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -9.161967500000000086e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -9.153212500000000773e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -9.144457500000000039e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -9.153212500000000773e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -9.144457500000000039e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -9.170722500000000821e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -9.161967500000000086e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -9.170722500000000821e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -9.161967500000000086e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -9.153212500000000773e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -9.144457500000000039e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -9.153212500000000773e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -9.144457500000000039e+01 2.000000000000000000e+00 2.656927822478334811e+00
3.064250000000000029e-01 -9.135702500000000725e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -9.126947499999999991e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -9.135702500000000725e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -9.126947499999999991e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -9.118192500000000678e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -9.109437499999999943e+01 2.000000000000000000e+00 2.666382000380190131e+00
2.188749999999999862e-01 -9.118192500000000678e+01 2.000000000000000000e+00 2.105277869743659380e+00
2.188749999999999862e-01 -9.109437499999999943e+01 2.000000000000000000e+00 2.691086881180352108e+00
1.313249999999999973e-01 -9.135702500000000725e+01 2.000000000000000000e+00 2.677019118523735308e+00
1.313249999999999973e-01 -9.126947499999999991e+01 2.000000000000000000e+00 2.684465437747887151e+00
4.377500000000000141e-02 -9.135702500000000725e+01 2.000000000000000000e+00 2.726089537856300371e+00
4.377500000000000141e-02 -9.126947499999999991e+01 2.000000000000000000e+00 2.685815145991886865e+00
1.313249999999999973e-01 -9.118192500000000678e+01 2.000000000000000000e+00 2.704392148601153956e+00
1.313249999999999973e-01 -9.109437499999999943e+01 2.000000000000000000e+00 2.662286592922783690e+00
4.377500000000000141e-02 -9.118192500000000678e+01 2.000000000000000000e+00 2.678162362882189562e+00
4.377500000000000141e-02 -9.109437499999999943e+01 2.000000000000000000e+00 2.719838957469005170e+00
3.064250000000000029e-01 -9.100682500000000630e+01 2.000000000000000000e+00 2.651423942711150783e+00
3.064250000000000029e-01 -9.091927499999999895e+01 2.000000000000000000e+00 2.650717166025173821e+00
2.188749999999999862e-01 -9.100682500000000630e+01 2.000000000000000000e+00 2.656781486322131069e+00
2.188749999999999862e-01 -9.091927499999999895e+01 2.000000000000000000e+00 2.644775728661387326e+00
3.064250000000000029e-01 -9.083172500000000582e+01 2.000000000000000000e+00 2.641129498462010172e+00
3.064250000000000029e-01 -9.074417499999999848e+01 2.000000000000000000e+00 2.693005012521990427e+00
2.188749999999999862e-01 -9.083172500000000582e+01 2.000000000000000000e+00 2.736587666482120262e+00
2.188749999999999862e-01 -9.074417499999999848e+01 2.000000000000000000e+00 2.670793171252303200e+00
1.313249999999999973e-01 -9.100682500000000630e+01 2.000000000000000000e+00 2.682423348339406211e+00
1.313249999999999973e-01 -9.091927499999999895e+01 2.000000000000000000e+00 2.637884086147646467e+00
4.377500000000000141e-02 -9.100682500000000630e+01 2.000000000000000000e+00 2.649976042474695426e+00
4.377500000000000141e-02 -9.091927499999999895e+01 2.000000000000000000e+00 2.691568313231548437e+00
1.313249999999999973e-01 -9.083172500000000582e+01 2.000000000000000000e+00 2.643432392778101381e+00
1.313249999999999973e-01 -9.074417499999999848e+01 2.000000000000000000e+00 2.655889531497137135e+00
4.377500000000000141e-02 -9.083172500000000582e+01 2.000000000000000000e+00 2.667971210709199070e+00
4.377500000000000141e-02 -9.074417499999999848e+01 2.000000000000000000e+00 2.697640659040134281e+00
3.064250000000000029e-01 -9.065662500000000534e+01 2.000000000000000000e+00 2.632063578396507619e+00
3.064250000000000029e-01 -9.056907499999999800e+01 2.000000000000000000e+00 2.672174766020489312e+00
2.188749999999999862e-01 -9.065662500000000534e+01 2.000000000000000000e+00 2.665946062389523252e+00
2.188749999999999862e-01 -9.056907499999999800e+01 2.000000000000000000e+00 2.669489729040308124e+00
3.064250000000000029e-01 -9.048152500000000487e+01 2.000000000000000000e+00 2.666119092138347746e+00
3.064250000000000029e-01 -9.039397499999999752e+01 2.000000000000000000e+00 2.646570542657122882e+00
2.188749999999999862e-01 -9.048152500000000487e+01 2.000000000000000000e+00 2.656328972762139973e+00
2.188749999999999862e-01 -9.039397499999999752e+01 2.000000000000000000e+00 2.623117156013485829e+00
1.313249999999999973e-01 -9.065662500000000534e+01 2.000000000000000000e+00 2.627513856293671957e+00
1.313249999999999973e-01 -9.056907499999999800e+01 2.000000000000000000e+00 2.633769193854959223e+00
4.377500000000000141e-02 -9.065662500000000534e+01 2.000000000000000000e+00 2.675175465639209271e+00
4.377500000000000141e-02 -9.056907499999999800e+01 2.000000000000000000e+00 2.682163983493376147e+00
1.313249999999999973e-01 -9.048152500000000487e+01 2.000000000000000000e+00 2.666138159993353351e+00
1.313249999999999973e-01 -9.039397499999999752e+01 2.000000000000000000e+00 2.649761165461995471e+00
4.377500000000000141e-02 -9.048152500000000487e+01 2.000000000000000000e+00 2.662107782753240670e+00
4.377500000000000141e-02 -9.039397499999999752e+01 2.000000000000000000e+00 2.648815528821198306e+00
3.064250000000000029e-01 -9.030642500000000439e+01 2.000000000000000000e+00 2.689513601929370168e+00
3.064250000000000029e-01 -9.021887499999999704e+01 2.000000000000000000e+00 2.683412975088744989e+00
2.188749999999999862e-01 -9.030642500000000439e+01 2.000000000000000000e+00 2.692083158131999276e+00
2.188749999999999862e-01 -9.021887499999999704e+01 2.000000000000000000e+00 2.694460169247637538e+00
3.064250000000000029e-01 -9.013132500000000391e+01 2.000000000000000000e+00 2.679766525265252053e+00
3.064250000000000029e-01 -9.004377499999999657e+01 2.000000000000000000e+00 2.692072023210710263e+00
2.188749999999999862e-01 -9.013132500000000391e+01 2.000000000000000000e+00 2.707084377261316899e+00
2.188749999999999862e-01 -9.004377499999999657e+01 2.000000000000000000e+00 2.686372874868562910e+00
1.313249999999999973e-01 -9.030642500000000439e+01 2.000000000000000000e+00 2.674550436138960929e+00
1.313249999999999973e-01 -9.021887499999999704e+01 2.000000000000000000e+00 2.700621012768968043e+00
4.377500000000000141e-02 -9.030642500000000439e+01 2.000000000000000000e+00 2.693261147367265185e+00
4.377500000000000141e-02 -9.021887499999999704e+01 2.000000000000000000e+00 2.687651737835592858e+00
1.313249999999999973e-01 -9.013132500000000391e+01 2.000000000000000000e+00 2.689954792928803684e+00
1.313249999999999973e-01 -9.004377499999999657e+01 2.000000000000000000e+00 2.697737614562982777e+00
4.377500000000000141e-02 -9.013132500000000391e+01 2.000000000000000000e+00 2.682526841513452887e+00
4.377500000000000141e-02 -9.004377499999999657e+01 2.000000000000000000e+00 2.703300253624472127e+00
3.064250000000000029e-01 -8.995622500000000343e+01 2.000000000000000000e+00 2.729155323545940259e+00
3.064250000000000029e-01 -8.986867499999999609e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -8.995622500000000343e+01 2.000000000000000000e+00 2.759080968499914022e+00
2.188749999999999862e-01 -8.986867499999999609e+01 2.000000000000000000e+00 2.746299446118735332e+00
3.064250000000000029e-01 -8.978112500000000296e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -8.969357499999999561e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -8.978112500000000296e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -8.969357499999999561e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -8.995622500000000343e+01 2.000000000000000000e+00 2.725901092593710384e+00
1.313249999999999973e-01 -8.986867499999999609e+01 2.000000000000000000e+00 2.789129141281295965e+00
4.377500000000000141e-02 -8.995622500000000343e+01 2.000000000000000000e+00 2.753398082410341896e+00
4.377500000000000141e-02 -8.986867499999999609e+01 2.000000000000000000e+00 2.716311733317603228e+00
1.313249999999999973e-01 -8.978112500000000296e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -8.969357499999999561e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -8.978112500000000296e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -8.969357499999999561e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -8.960602500000000248e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -8.951847499999999513e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -8.960602500000000248e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -8.951847499999999513e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -8.943092500000000200e+01 2.000000000000000000e+00 nan
3.064250000000000029e-01 -8.934337499999999466e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -8.943092500000000200e+01 2.000000000000000000e+00 nan
2.188749999999999862e-01 -8.934337499999999466e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -8.960602500000000248e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -8.951847499999999513e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -8.960602500000000248e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -8.951847499999999513e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -8.943092500000000200e+01 2.000000000000000000e+00 nan
1.313249999999999973e-01 -8.934337499999999466e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -8.943092500000000200e+01 2.000000000000000000e+00 nan
4.377500000000000141e-02 -8.934337499999999466e+01 2.000000000000000000e+00 nan
-4.377500000000000141e-02 -9.170722500000000821e+01 2.000000000000000000e+00 nan
-4.377500000000000141e-02 -9.161967500000000086e+01 2.000000000000000000e+00 nan
